NOM_REG,NOM_PROV,NOM_COM,SHAPE_LENG,DIS_ELEC,CIR_SENA,COD_COMUNA,SHAPE_Le_1,SHAPE_Area,id
Región Metropolitana de Santiago,Santiago,Providencia,16072.40828,21,8,1312,16020.57544,14396522.81,1
Región Metropolitana de Santiago,Santiago,Quilicura,35236.92063,16,7,1312,34891.08673,56764072.6,1
Región Metropolitana de Santiago,Santiago,Vitacura,25316.04602,23,8,1313,25555.32382,28668485.18,1
Región Metropolitana de Santiago,Talagante,Padre Hurtado,50719.94756,31,7,1360,50706.06901,80592193,1
Región Metropolitana de Santiago,Santiago,Quinta Normal,17674.57679,18,7,1312,17598.27477,11622769.65,1
Región Metropolitana de Santiago,Santiago,Recoleta,18338.21832,19,7,1312,18386.28206,15763812.5,1
Región Metropolitana de Santiago,Santiago,Renca,28974.95671,17,7,1312,28770.72173,24011796.17,1
Región Metropolitana de Santiago,Santiago,San Miguel,13311.6413,28,8,1313,13305.9267,9635028.279,1
Región Metropolitana de Santiago,Santiago,Santiago,24644.01862,22,7,1310,22142.66006,22769994.79,1
Región Metropolitana de Santiago,Santiago,Huechuraba,32111.26582,17,7,1310,32061.97711,44740350.65,1
Región Metropolitana de Santiago,Santiago,La Cisterna,12797.59576,27,8,1310,12852.1698,10076219.34,1
Región Metropolitana de Santiago,Santiago,La Granja,14001.42478,25,8,1311,14049.42045,10059460.65,1
Región Metropolitana de Santiago,Santiago,La Pintana,26302.7907,29,8,1311,26281.25403,30491221.68,1
Región Metropolitana de Santiago,Santiago,La Reina,23724.89936,24,8,1311,23638.52063,23334550.41,1
Región Metropolitana de Santiago,Santiago,Las Condes,51230.56324,23,8,1311,51374.34901,98396073.99,1
Región Metropolitana de Santiago,Santiago,Macul,15200.75037,25,8,1311,15151.8167,12794112.31,1
Región Metropolitana de Santiago,Santiago,Maipú,61424.98253,20,7,1311,61429.46984,138038031.1,1
Región Metropolitana de Santiago,Santiago,Ñuñoa,17714.12605,21,8,1312,17848.55557,16911880.49,1
Región Metropolitana de Santiago,Talagante,Peñaflor,38814.44711,31,7,1360,38764.77435,69124472.02,1
Región de Tarapacá,Iquique,Alto Hospicio,103097.0746,2,1,1107,103097.0748,578378428.5,1
Región de Magallanes y Antártica Chilena,Tierra del Fuego,Timaukel,2133928.93,60,19,1230,1672655.678,10847963065,1
Región de Magallanes y Antártica Chilena,Tierra del Fuego,Porvenir,1474427.519,60,19,1230,607812.903,7197471104,1
Región de Aysén del Gral.Ibañez del Campo,General Carrera,Chile Chico,1181428.769,59,18,1140,488978.5535,5728067103,1
Región de Aysén del Gral.Ibañez del Campo,Coyhaique,Lago Verde,1108424.516,59,18,1110,611704.6734,5429705125,1
Región de Aysén del Gral.Ibañez del Campo,Capitán Prat,Tortel,13731649.31,59,18,1130,11097055.71,19616362909,1
Región de Aysén del Gral.Ibañez del Campo,Capitán Prat,Cochrane,2093515.619,59,18,1130,659216.9241,8661913260,1
Región de Magallanes y Antártica Chilena,Tierra del Fuego,Primavera,545073.7231,60,19,1230,471188.9414,4237743754,1
Región de Magallanes y Antártica Chilena,Antártica Chilena,Cabo de Hornos,12110414.09,60,19,1220,10714894.39,15808568324,1
Región de Aysén del Gral.Ibañez del Campo,Aysén,Guaitecas,978819.9526,59,18,1120,878858.7949,618191480.6,1
Región de Magallanes y Antártica Chilena,Magallanes,Río Verde,4043464.713,60,19,1210,3502457.756,9097442271,1
Región de Magallanes y Antártica Chilena,Ultima Esperanza,Torres del Paine,1432371.535,60,19,1240,417848.7566,6168867088,1
Región de Aysén del Gral.Ibañez del Campo,Coyhaique,Coyhaique,1340686.268,59,18,1110,744118.6397,7271727919,1
Región de Aysén del Gral.Ibañez del Campo,Aysén,Aysén,14493537.88,59,18,1120,10860667.1,29718840161,1
Región de Aysén del Gral.Ibañez del Campo,Aysén,Cisnes,8887416.993,59,18,1120,7613456.947,15330695545,1
Región de Magallanes y Antártica Chilena,Ultima Esperanza,Natales,33174907.45,60,19,1240,32473607.05,51138832511,1
Región de Magallanes y Antártica Chilena,Magallanes,Punta Arenas,11496900.09,60,19,1210,11148988.85,17769198011,1
Región de Valparaíso,Los Andes,Calle Larga,101662.557,11,5,5302,102026.5965,322198740.2,1
Región Metropolitana de Santiago,Santiago,Estación Central,13054.56352,20,7,1310,19243.64992,14915626.82,1
Región de Valparaíso,Isla de Pascua,Isla de Pascua,0,13,6,5201,120467.6966,245824238.2,1
Región de Tarapacá,Iquique,Pozo Almonte,705627.4676,2,1,1401,705627.4677,13652013822,1
Región de Tarapacá,Iquique,Camiña,226896.7956,2,1,1402,226896.7955,2261328057,1
Región de Valparaíso,Quillota,Olmué,69802.23996,12,5,5803,69802.23982,230499321.4,1
Región de Tarapacá,Iquique,Colchane,304995.9238,2,1,1403,306952.2433,3997695593,1
Región de Valparaíso,Valparaíso,Quilpué,163202.1548,12,5,5801,163194.9344,535963300.8,1
Región de Tarapacá,Iquique,Pica,649913.6789,2,1,1405,653201.2257,8952416607,1
Región de Tarapacá,Iquique,Huara,652322.2533,2,1,1404,652322.2533,10708040608,1
Región de Valparaíso,Valparaíso,Villa Alemana,51418.52821,12,5,5804,51324.28696,95527771.36,1
Región de Valparaíso,Quillota,Limache,121171.6271,12,5,5802,121171.6268,295984991.7,1
Región de Valparaíso,Valparaíso,Juan Fernández,0,13,6,5104,143877.0523,106605950.3,1
